query_id,query_text,query_group,priority,enabled,created_at,query_category
Q001,新闻学,default,0,1,2026-07-29T11:20:11.429818+08:00,专业名称与总体讨论
Q002,新闻专业,default,0,1,2026-07-29T11:20:14.134374+08:00,专业名称与总体讨论
Q003,新闻传播学,default,0,1,2026-07-29T11:20:18.877708+08:00,专业名称与总体讨论
Q004,新传,default,0,1,2026-07-29T11:20:21.726332+08:00,专业名称与总体讨论
Q005,新闻学院,default,0,1,2026-07-29T11:24:11.044104+08:00,教育组织与培养体系
Q006,新闻学有用吗,default,0,1,2026-07-29T11:24:39.404021+08:00,专业价值争议
Q007,新闻专业劝退,default,0,1,2026-07-29T11:25:12.164627+08:00,专业价值争议
Q008,新闻学就业,default,0,1,2026-07-29T11:25:29.519328+08:00,就业与职业结果
Q009,新闻已死,default,0,1,2026-07-29T11:25:55.007712+08:00,专业价值争议
Q010,新闻教育,default,1,1,2026-07-29T11:26:19.974555+08:00,教育组织与培养体系
Q011,新闻传播教育,default,1,1,2026-07-29T11:26:45.525222+08:00,教育组织与培养体系
Q012,新闻采访,default,1,1,2026-07-29T11:27:23.271030+08:00,课程知识与专业训练
Q013,马克思主义新闻观,default,1,1,2026-07-29T11:27:38.322569+08:00,课程知识与专业训练
Q014,AI与新闻,default,1,1,2026-07-29T11:28:12.975754+08:00,AI与技术变迁
Q015,AI写新闻,default,1,1,2026-07-29T11:28:51.529475+08:00,AI与技术变迁
Q016,ChatGPT新闻,default,1,1,2026-07-29T11:29:19.558468+08:00,AI与技术变迁
Q017,智能传播,default,1,1,2026-07-29T11:29:51.958354+08:00,AI与技术变迁
Q018,新闻学魅力时刻,default,0,1,2026-07-29T11:30:24.419494+08:00,专业价值争议
Q019,新闻学值得学吗,default,0,1,2026-07-29T11:30:50.761927+08:00,专业价值争议
Q020,新闻已死,default,0,1,2026-07-29T11:31:15.140035+08:00,专业价值争议
Q021,记者还有意义吗,default,0,1,2026-07-29T11:31:41.750646+08:00,公共价值与职业意义
Q022,为什么还要学新闻,default,0,1,2026-07-29T11:32:22.598623+08:00,公共价值与职业意义
Q023,新闻学学什么,default,1,1,2026-07-29T11:33:01.804040+08:00,专业名称与总体讨论
Q024,新闻教育,default,1,1,2026-07-29T11:33:27.247471+08:00,教育组织与培养体系
Q025,新闻传播教育,default,1,1,2026-07-29T11:34:08.248750+08:00,教育组织与培养体系
Q026,新闻学课程,default,1,1,2026-07-29T11:34:38.503747+08:00,课程知识与专业训练
Q027,新闻学历史课,default,1,1,2026-07-29T11:35:18.643003+08:00,课程知识与专业训练
Q028,新闻史,default,1,1,2026-07-29T11:35:38.858145+08:00,课程知识与专业训练
Q029,中国新闻史,default,1,1,2026-07-29T11:36:04.143275+08:00,课程知识与专业训练
Q030,外国新闻史,default,1,1,2026-07-29T11:36:40.685636+08:00,课程知识与专业训练
Q031,新闻理论,default,1,1,2026-07-29T11:37:08.793639+08:00,课程知识与专业训练
Q032,新闻学概论,default,1,1,2026-07-29T11:37:35.057087+08:00,课程知识与专业训练
Q033,新闻采访,default,1,1,2026-07-29T11:38:16.657594+08:00,课程知识与专业训练
Q034,新闻写作,default,1,1,2026-07-29T11:38:51.685659+08:00,课程知识与专业训练
Q035,新闻编辑,default,1,1,2026-07-29T11:39:18.800631+08:00,课程知识与专业训练
Q036,新闻评论,default,1,1,2026-07-29T11:39:42.343356+08:00,课程知识与专业训练
Q037,新闻伦理,default,1,1,2026-07-29T11:40:20.005659+08:00,课程知识与专业训练
Q038,马克思主义新闻观,default,1,1,2026-07-29T11:41:04.931575+08:00,课程知识与专业训练
Q039,AI与新闻,default,1,1,2026-07-29T11:41:34.071086+08:00,AI与技术变迁
Q040,AI新闻,default,1,1,2026-07-29T11:41:53.533454+08:00,AI与技术变迁
Q041,AI替代记者,default,1,1,2026-07-29T11:42:35.181948+08:00,AI与技术变迁
Q042,AI会替代记者吗,default,1,1,2026-07-29T11:43:08.656753+08:00,AI与技术变迁
Q043,AI写新闻,default,1,1,2026-07-29T11:43:52.448450+08:00,AI与技术变迁
Q044,AI写稿,default,1,1,2026-07-29T11:44:17.376307+08:00,AI与技术变迁
Q045,ChatGPT新闻,default,1,1,2026-07-29T11:44:37.293076+08:00,AI与技术变迁
Q046,AIGC新闻,default,1,1,2026-07-29T11:45:02.537450+08:00,AI与技术变迁
Q047,智能传播,default,1,1,2026-07-29T11:45:43.558642+08:00,AI与技术变迁
Q048,计算传播,default,1,1,2026-07-29T11:46:22.521742+08:00,学科与方法
Q049,数据新闻,default,1,1,2026-07-29T11:46:58.899411+08:00,学科与方法
Q_REFRESH,新闻学,refresh,0,1,2026-07-30T04:46:51.917779+08:00,专业名称与总体讨论
