term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope
Intercept,-8.278068597331941,0.9413436592882405,1.4447447852999622e-18,0.00025402735565089224,4.014140673332526e-05,0.0016075644246272113,1010,2.3115916564799396e-17,binomial_gee_exchangeable,note_id,adjudicated
C(reply_source_type)[T.browser],-0.4714521269528971,1.0381459446164198,0.6497360181337013,0.6240953442870619,0.0815761631129358,4.774617779234861,1010,0.7425554492956586,binomial_gee_exchangeable,note_id,adjudicated
is_author,0.04667310884323249,0.37301892702708467,0.900426468667686,1.0477794432575935,0.504370587660083,2.1766569831250258,1010,0.900426468667686,binomial_gee_exchangeable,note_id,adjudicated
source_negative,-0.19379674335402008,0.2943718868541616,0.5103197778643636,0.8238253352267844,0.46265870192639147,1.4669305475843017,1010,0.6804263704858181,binomial_gee_exchangeable,note_id,adjudicated
is_author:source_negative,0.6513485074525703,0.43449086164095974,0.13384574737954197,1.9181256925596932,0.8185231645385093,4.4949322534225065,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
log_reply_length,1.6371012260008144,0.2196416983963063,9.089026501646995e-14,5.140247479141011,3.3421138537559036,7.90581808489918,1010,7.271221201317596e-13,binomial_gee_exchangeable,note_id,adjudicated
e0,0.33570671927643997,0.24064461000286233,0.16300645605824748,1.3989286858244268,0.8728804131395469,2.2420041033840827,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e1,-0.5801772247954711,0.4002428100493612,0.1471803808746925,0.5597991474842032,0.25546927461179664,1.2266644824518955,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e2,-0.5457365870947172,0.5645245747585373,0.33368456636047716,0.5794148366262838,0.19162695231777402,1.7519537248911508,1010,0.48535936925160317,binomial_gee_exchangeable,note_id,adjudicated
e3,-0.5020803064250874,0.28909328169325255,0.08243280492080575,0.6052702016083382,0.3434536405131803,1.0666709382017436,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e4,-0.17906571374507657,0.3281154085142157,0.5852446496029915,0.8360509575523425,0.4394761126920073,1.5904873631073717,1010,0.7203011072036818,binomial_gee_exchangeable,note_id,adjudicated
e5,0.6313221463526099,0.39571081686697746,0.11061993067256785,1.8800946970651162,0.865653076915445,4.083340271287036,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e6,-1.405341915702262,0.9357704994201396,0.13314827702382936,0.24528317594435597,0.03918535908952034,1.5353651924920086,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e7,-0.33287348430290953,0.24248840118135045,0.16983324514949383,0.7168608825730994,0.44568148084165615,1.1530421322264008,1010,0.3019257691546557,binomial_gee_exchangeable,note_id,adjudicated
e8,0.07118982309589522,0.5378191523715252,0.894693551387459,1.0737850357236436,0.3742109079355034,3.0811883846602157,1010,0.900426468667686,binomial_gee_exchangeable,note_id,adjudicated
e9,-0.5184852488864199,0.4046207161184228,0.20004950522696419,0.5954217810318493,0.26940435422005415,1.3159664711193029,1010,0.3200792083631427,binomial_gee_exchangeable,note_id,adjudicated
