term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-0.9443738449008341,0.3789467238031961,0.012698960406399054,0.38892302080776064,0.18505366339614263,0.8173905522228467,1010,0.10159168325119243,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
C(reply_source_type)[T.browser],0.3042515920403367,0.9840712844836123,0.7571873644514733,1.3556100738935821,0.19700461471928024,9.3280996237593,1010,0.931922910094121,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
is_author,0.35513657605205784,0.23644331049892137,0.13309850291099704,1.4263754497066554,0.8973652469863518,2.267245060312445,1010,0.4259152093151905,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
source_negative,0.1605130756950565,0.24622807931392246,0.5144735694374893,1.1741131253854347,0.7246301010605751,1.9024073512606057,1010,0.7483251919090754,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
is_author:source_negative,-0.14801509391995113,0.34747429698860116,0.6701266286130784,0.862418097574075,0.4364573070124301,1.704095596690525,1010,0.8935021714841045,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
log_reply_length,0.38488259701004945,0.08471049385633889,5.532635412933738e-06,1.4694417944535232,1.2446446021586277,1.7348399563553458,1010,8.852216660693981e-05,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e0,-0.012408052008097524,0.18482155259692712,0.9464739849273529,0.9876686104643175,0.6875241690358643,1.4188436247477287,1010,0.9750386598748194,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e1,-0.34839218573103325,0.20407801835042247,0.08779381447612551,0.705822008605746,0.4731299929582642,1.0529552453805135,1010,0.35117525790450205,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e2,-0.18662855306824058,0.2583467916869712,0.4700513686914858,0.8297518879437837,0.5000794642065117,1.3767575851944138,1010,0.7483251919090754,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e3,-0.18741883760727612,0.14383700821600373,0.19257662265311404,0.8290964068978893,0.6254152976260356,1.099111029967193,1010,0.5135376604083041,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e4,0.4432564859736689,0.22803944141109792,0.05192305493792952,1.5577718297316099,0.9963060203992982,2.4356503160874383,1010,0.27692295966895747,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e5,-0.21537719302818714,0.26995236347617046,0.424966786910126,0.8062372757371074,0.474979408961676,1.3685194189974657,1010,0.7483251919090754,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e6,0.67097854014101,0.8028001226871044,0.4032686897649116,1.9561505562354915,0.40555057107160686,9.435383085639362,1010,0.7483251919090754,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e7,-0.007630847566412663,0.15305408008341448,0.9602361859517043,0.9923981934347774,0.735196958785877,1.3395786837298989,1010,0.9750386598748194,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e8,0.007992868142517817,0.2554488499502086,0.9750386598748194,1.0080248963887382,0.6109825513420977,1.6630821772364976,1010,0.9750386598748194,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
e9,0.1835884444436059,0.2266985923770018,0.41803503946120735,1.2015212285889725,0.7704806049150345,1.8737048714018627,1010,0.7483251919090754,binomial_gee_exchangeable,note_id,adjudicated_plus_high,同层直接回应
