variable,label,support_A,support_B,precision,recall,f1,precision_B_vs_A,recall_B_vs_A,alpha
relevance_status,弱相关,53,53,0.9622641509433962,0.9622641509433962,0.9622641509433962,,,
relevance_status,无关,6,6,1.0,1.0,1.0,,,
relevance_status,核心相关,47,48,0.9791666666666666,1.0,0.9894736842105263,,,
relevance_status,语境相关,14,13,0.8461538461538461,0.7857142857142857,0.8148148148148148,,,
translation_link,仅抽象价值表达,5,5,1.0,1.0,1.0,,,
translation_link,无转译,97,97,1.0,1.0,1.0,,,
translation_link,能力—公共价值连接,5,5,1.0,1.0,1.0,,,
translation_link,能力—职业连接,11,11,1.0,1.0,1.0,,,
translation_link,课程—能力连接,2,2,1.0,1.0,1.0,,,
evaluation_pairs,专业|中性,6,6,,,1.0,1.0,1.0,1.0
evaluation_pairs,专业|否定,12,12,,,1.0,1.0,1.0,1.0
evaluation_pairs,专业|条件性否定,5,5,,,1.0,1.0,1.0,1.0
evaluation_pairs,专业|条件性认可,4,4,,,1.0,1.0,1.0,1.0
evaluation_pairs,专业|认可,5,5,,,1.0,1.0,1.0,1.0
evaluation_pairs,学科|否定,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,学科|条件性否定,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,未明确|否定,2,1,,,0.0,0.0,0.0,-0.012658227848102444
evaluation_pairs,未明确|认可,1,1,,,0.0,0.0,0.0,-0.00840336134454267
evaluation_pairs,知识|中性,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,知识|否定,4,4,,,1.0,1.0,1.0,1.0
evaluation_pairs,知识|条件性认可,2,2,,,1.0,1.0,1.0,1.0
evaluation_pairs,职业|中性,12,12,,,1.0,1.0,1.0,1.0
evaluation_pairs,职业|否定,9,9,,,1.0,1.0,1.0,1.0
evaluation_pairs,职业|条件性认可,3,3,,,1.0,1.0,1.0,1.0
evaluation_pairs,职业|认可,5,5,,,1.0,1.0,1.0,1.0
evaluation_pairs,能力|否定,5,5,,,1.0,1.0,1.0,1.0
evaluation_pairs,能力|条件性否定,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,能力|条件性认可,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,能力|认可,4,4,,,1.0,1.0,1.0,1.0
evaluation_pairs,行业|中性,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,行业|否定,7,7,,,1.0,1.0,1.0,1.0
evaluation_pairs,行业|条件性否定,2,2,,,1.0,1.0,1.0,1.0
