term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope
Intercept,-11.244949544701026,0.87587843203251,9.981232533653771e-38,1.3073156598267646e-05,2.3486466918784963e-06,7.276846876706415e-05,5411,1.5969972053846034e-36,binomial_gee_exchangeable,note_id,full_hybrid
C(reply_source_type)[T.browser],0.9356299993479651,0.9287904802575134,0.313759933242976,2.548818706156146,0.4127969960067221,15.737703664746869,5411,0.40704536398169205,binomial_gee_exchangeable,note_id,full_hybrid
is_author,0.8880753208008574,0.42470008775169565,0.03652227314520352,2.4304473153455524,1.0572414906910892,5.5872515453485585,5411,0.07304454629040703,binomial_gee_exchangeable,note_id,full_hybrid
source_negative,-0.2886119393822963,0.2438934669242511,0.2366694813032949,0.749302923946326,0.4645699525448268,1.2085475368326546,5411,0.37867117008527185,binomial_gee_exchangeable,note_id,full_hybrid
is_author:source_negative,0.9254134227488454,0.4116100349606739,0.024558524920844378,2.5229110736130793,1.1259844889033244,5.652902280704507,5411,0.06548939978891834,binomial_gee_exchangeable,note_id,full_hybrid
log_reply_length,1.9084548824872305,0.19008239730867607,1.0152452892325e-23,6.742662539735211,4.645473867570446,9.7866222953323,5411,8.12196231386e-23,binomial_gee_exchangeable,note_id,full_hybrid
e0,0.7197471677820256,0.21304109719334358,0.0007289758752668667,2.053913849396955,1.3528136615644204,3.1183615457181215,5411,0.0038878713347566224,binomial_gee_exchangeable,note_id,full_hybrid
e1,-0.8125338197910009,0.38802550133552577,0.0362580472731355,0.44373230289356713,0.20740874847788102,0.9493252241104309,5411,0.07304454629040703,binomial_gee_exchangeable,note_id,full_hybrid
e2,-0.5004992808744062,0.5145697356699732,0.3307243582351248,0.6062279061403213,0.22111862366833374,1.6620593421137029,5411,0.40704536398169205,binomial_gee_exchangeable,note_id,full_hybrid
e3,-0.5984197143519216,0.2333330598914506,0.010327727099344602,0.5496796008815618,0.34793050697858185,0.8684138285232711,5411,0.033048726717902724,binomial_gee_exchangeable,note_id,full_hybrid
e4,0.2971942079282524,0.29642848987160847,0.31606203104545083,1.346076692830726,0.7529129725079547,2.4065496666189543,5411,0.40704536398169205,binomial_gee_exchangeable,note_id,full_hybrid
e5,1.4327298123016543,0.46063956869114075,0.0018689389673264604,4.190121840131725,1.6987220917777337,10.335487552749209,5411,0.0074757558693058414,binomial_gee_exchangeable,note_id,full_hybrid
e6,-1.4031277102755242,0.8343649521753365,0.09263256916486749,0.24582688500325672,0.047907509298005406,1.2614067872846064,5411,0.16468012295976442,binomial_gee_exchangeable,note_id,full_hybrid
e7,-0.14883499223377855,0.22848452027930585,0.5147878143084633,0.861711292223912,0.5506451699341186,1.348502432582938,5411,0.5147878143084633,binomial_gee_exchangeable,note_id,full_hybrid
e8,0.39511887196881446,0.4364440243899815,0.36529907805400286,1.4845606530801603,0.6310870843907025,3.4922602398076603,5411,0.4174846606331461,binomial_gee_exchangeable,note_id,full_hybrid
e9,-0.20685914086679305,0.3015461201940557,0.49271624017757476,0.8131341792968088,0.4502782578918399,1.468396890039307,5411,0.5147878143084633,binomial_gee_exchangeable,note_id,full_hybrid
