term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-4.400821804402041,0.6303261460812237,2.91386529000869e-12,0.01226725447578263,0.0035661772660577464,0.042197995541585674,1010,4.662184464013904e-11,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
C(reply_source_type)[T.browser],1.5799208655684907,0.8300453637958574,0.05698640436722256,4.8545716322704004,0.9541178835822889,24.70016141439608,1010,0.1823564939751122,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
is_author,0.05152828369967321,0.3247507129282224,0.8739286615357326,1.0528789651834463,0.5571152693819432,1.9898110431537457,1010,0.9478470222662667,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
source_negative,0.29617269212971375,0.29823330048998514,0.32066579660210726,1.3447023562957054,0.749488296355695,2.412611959145348,1010,0.46642297687579237,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
is_author:source_negative,-0.25557218338662024,0.410237999399273,0.5332942775614136,0.7744732304421783,0.34658102052739925,1.730645214671024,1010,0.7110590367485514,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
log_reply_length,0.6208654417177596,0.1527676375153231,4.821478782768594e-05,1.8605375320836093,1.3791134596535688,2.5100182179074055,1010,0.0003857183026214875,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e0,0.3620405714130924,0.2553476944267393,0.1562393169610228,1.436257211762945,0.8707147005738349,2.3691282310745194,1010,0.3571184387680521,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e1,0.7985860665769511,0.31306106737503303,0.010744653838753305,2.2223963854004807,1.203202045812864,4.104917965381602,1010,0.057304820473350955,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e2,0.984199748309,0.40526458105088314,0.015159907224610396,2.675669818142758,1.2091059103989779,5.921076817296941,1010,0.060639628898441586,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e3,-0.35963433124192873,0.23389548912275557,0.12414997552930955,0.697931491156828,0.44128273349742325,1.1038464217436637,1010,0.33106660141149213,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e4,-0.43654444949491145,0.3299756442980858,0.18584881020496058,0.6462657710606742,0.33847782028083295,1.2339344613426027,1010,0.37169762040992116,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e5,-0.16735370309062186,0.329611782734347,0.6116428923623933,0.845900360845407,0.44335131050294135,1.6139512921855739,1010,0.7527912521383302,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e6,-0.6507533469887522,0.6171683028419904,0.29169160006452244,0.5216526432486691,0.15560987261640913,1.7487417451919944,1010,0.46642297687579237,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e7,0.25452389749606674,0.21751322485302305,0.2419391349834462,1.2898473750975412,0.8421458819992126,1.975555882427948,1010,0.43011401774834884,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e8,0.07596091880070292,0.542316148490256,0.8886065833746251,1.0789204078298498,0.37270102129508087,3.123332590790229,1010,0.9478470222662667,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
e9,-0.01698171269805311,0.3617797366485895,0.9625615504208438,0.9831616638447228,0.48380662049847295,1.9979198636389364,1010,0.9625615504208438,binomial_gee_exchangeable,note_id,adjudicated,个人经验回应
