term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-8.075238933824775,0.36897835406677354,3.578563151139571e-106,0.00031114891506050894,0.000150968929413474,0.0006412819360875133,5411,5.725701041823314e-105,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
C(reply_source_type)[T.browser],2.6957758642774787,0.7433023064997196,0.00028700461675678415,14.817010283755476,3.4518259211231634,63.602220611831996,5411,0.0011480184670271366,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
is_author,0.21474009512404857,0.2943637093626312,0.4656921927711677,1.2395396926865794,0.6961342319634818,2.207129859728174,5411,0.5322196488813346,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
source_negative,-0.38995915333069225,0.17655854975098448,0.027197767638277984,0.6770845305812454,0.47901952957711424,0.9570454506461279,5411,0.062166326030349675,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
is_author:source_negative,-0.6555259305656447,0.4113509984482608,0.11102730023181187,0.5191689439562656,0.23182467886965125,1.1626734206336031,5411,0.177643680370899,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
log_reply_length,1.2527553303432655,0.0869107503723732,4.208438547324467e-47,3.4999732665697385,2.9517855534771105,4.149967077477207,5411,3.3667508378595736e-46,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e0,0.6709673777452991,0.2568578129129195,0.008995812662419219,1.9561287210307796,1.18237610774966,3.2362287669395893,5411,0.02398883376645125,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e1,-0.5981982813095962,0.29587169337072117,0.04319530911784241,0.5498013315849918,0.30786102963456574,0.9818764803438792,5411,0.08639061823568482,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e2,-0.5578335044522206,0.28859873272817294,0.053248084993843696,0.572447927253949,0.3251440316233373,1.0078506678448345,5411,0.09466326221127769,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e3,0.19883870782450988,0.26509704539673334,0.4532185282865061,1.2199851759668636,0.7256035402314422,2.0512080592993835,5411,0.5322196488813346,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e4,0.5489954789933699,0.17343304623061623,0.0015483761659930795,1.7315128029886753,1.2325272156834808,2.4325114681148237,5411,0.004954803731177854,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e5,0.3231593266800962,0.3268443931094899,0.32279755184961434,1.3814854408609571,0.7279989421956181,2.621572522557273,5411,0.4303967357994858,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e6,1.510528028736506,0.370181523122101,4.4937715694730585e-05,4.5291216694259075,2.1923460878529455,9.356617192020302,5411,0.00023966781703856313,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e7,0.20714471081542216,0.1637773276450554,0.2059448993241616,1.2301605764409593,0.8923839057600986,1.6957892607224758,5411,0.2995562171987805,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e8,-0.11524312102714641,0.517900028737279,0.8239090957978895,0.8911494603955874,0.32292758454440507,2.4592119062351117,5411,0.8788363688510822,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
e9,0.02692062500620935,0.24890655854109917,0.9138723063434389,1.0272862586868474,0.630692895569176,1.6732661247665357,5411,0.9138723063434389,binomial_gee_exchangeable,note_id,full_hybrid,具体能力解释
