cluster,formula,model_family,model_id,n,ok,outcome,rq,scope,status,subset
,judgment_clear ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_glm_cluster_robust,rq1_judgment_clear,21779,1.0,judgment_clear,RQ1,,historical_cluster_glm,
,negative ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_glm_cluster_robust,rq1_negative,16533,1.0,negative,RQ1,,historical_cluster_glm,
,positive ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_glm_cluster_robust,rq1_positive,16533,1.0,positive,RQ1,,historical_cluster_glm,
,negative ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + C(source_type) + is_reply + log_text_length,binomial_glm_cluster_robust,rq1_negative_专业,6947,1.0,negative,RQ1,,historical_cluster_glm,专业
,negative ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + C(source_type) + is_reply + log_text_length,binomial_glm_cluster_robust,rq1_negative_职业,6623,1.0,negative,RQ1,,historical_cluster_glm,职业
,negative ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + C(source_type) + is_reply + log_text_length,binomial_glm_cluster_robust,rq1_negative_行业,2208,1.0,negative,RQ1,,historical_cluster_glm,行业
,any_like ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + is_reply:is_note_author + log_text_length,binomial_glm_cluster_robust,rq4_any_like,21779,1.0,any_like,RQ4,,historical_cluster_glm,
,positive_likes ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + is_reply:is_note_author + log_text_length,binomial_glm_cluster_robust,rq4_positive_likes,9458,1.0,positive_likes,RQ4,,historical_cluster_glm,
,has_reply ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_note_author + log_text_length,binomial_glm_cluster_robust,rq4_root_has_reply,14255,1.0,has_reply,RQ4,,historical_cluster_glm,
,reply_count ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_note_author + log_text_length,binomial_glm_cluster_robust,rq4_root_reply_count,2323,1.0,reply_count,RQ4,,historical_cluster_glm,
